Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-324.83861054668716,nan,0
100,-0.11778471205604998,-324.83861054668716,nan,100
200,-0.870674008975157,-324.83861054668716,2.321196,200
300,-0.6117594720652807,-324.83861054668716,2.4954674,300
400,-0.6120807882525687,-324.83861054668716,2.290865,400
500,0.24042581850794403,-424.53091762311726,2.2602773,500
600,-0.3751694816132536,-424.53091762311726,2.193513,600
700,-0.31135834458978595,-424.53091762311726,1.9541355,700
800,-0.04220468261689564,-424.53091762311726,1.9585761,800
900,0.03778166839442769,-424.53091762311726,1.8677155,900
1000,-0.20760602942219358,-422.89385207294225,1.7465706,1000
1100,-0.12785430226294442,-422.89385207294225,1.7023867,1100
1200,-0.08731842240182983,-422.89385207294225,1.6283793,1200
1300,0.314881870230011,-422.89385207294225,1.6093724,1300
1400,-0.312368173803821,-422.89385207294225,1.6159337,1400
1500,0.02656013059663631,-354.6474898130481,1.5018584,1500
1600,-0.12394010694152031,-354.6474898130481,1.4910091,1600
1700,-0.10538833105626207,-354.6474898130481,1.4744911,1700
1800,-0.03561308599235023,-354.6474898130481,1.486734,1800
1900,0.13207582209313862,-354.6474898130481,1.4889817,1900
2000,0.6141161193279501,-393.8149077136608,1.4402558,2000
2100,0.08644794805193855,-393.8149077136608,1.3695436,2100
2200,0.278524444378378,-393.8149077136608,1.3751061,2200
2300,0.11544472559857681,-393.8149077136608,1.3989612,2300
2400,-0.22225178401088147,-393.8149077136608,1.4005055,2400
2500,-0.43805483267825907,-424.76513895099333,1.3361,2500
2600,-0.07291837793233982,-424.76513895099333,1.3896375,2600
2700,0.13253341476576486,-424.76513895099333,1.3862932,2700
2800,-0.3824415423576387,-424.76513895099333,1.3853356,2800
2900,-0.3202369927274409,-424.76513895099333,1.4116603,2900
3000,-0.4695385972225212,-353.8998762160771,1.3869573,3000
3100,-0.3208742753484233,-353.8998762160771,1.4451481,3100
3200,-0.0930432384050449,-353.8998762160771,1.4110649,3200
3300,-0.019879899051444196,-353.8998762160771,1.4397838,3300
3400,-0.09300126193340218,-353.8998762160771,1.445687,3400
