Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-324.83861054668716,nan,0
100,-116.50400231181685,-324.83861054668716,nan,4
200,-170.60822053195886,-324.83861054668716,170.60957,6
300,-157.4807425889834,-324.83861054668716,170.02377,8
400,-177.93894004499035,-324.83861054668716,132.35992,10
500,-241.41022544279375,-188.13876896790902,146.7806,14
600,-232.93746927804108,-188.13876896790902,167.87518,18
700,-233.80054270234982,-188.13876896790902,183.5448,22
800,-238.03018252235407,-188.13876896790902,168.40465,24
900,-222.1788758926932,-188.13876896790902,153.26398,26
1000,-213.54285654542022,-175.63349094690722,166.28912,30
1100,-155.92920517141854,-175.63349094690722,157.7514,34
1200,-128.54206841631353,-175.63349094690722,201.55913,38
1300,-123.02121212787047,-175.63349094690722,169.61615,40
1400,-121.90793233634543,-175.63349094690722,183.41135,44
1500,-123.7039296346381,-197.19671159917226,167.41241,48
1600,-117.24368480088788,-197.19671159917226,188.49692,52
1700,-169.04885648255532,-197.19671159917226,178.47574,54
1800,-183.9656291918197,-197.19671159917226,180.96524,56
1900,-182.71580237605446,-197.19671159917226,182.46645,60
2000,-181.46274559416082,-302.1785312317284,224.01318,62
2100,-210.14111510152014,-302.1785312317284,183.25475,66
2200,-201.19251986989102,-302.1785312317284,190.00404,68
2300,-225.2808997384105,-302.1785312317284,228.32361,70
2400,-225.01747675870115,-302.1785312317284,193.87152,72
2500,-210.40140232685886,-289.0277046010441,196.72812,74
2600,-233.25110162986783,-289.0277046010441,179.12154,78
2700,-230.46604128748845,-289.0277046010441,186.9273,82
2800,-232.54747355468976,-289.0277046010441,177.89839,84
2900,-226.15644337662465,-289.0277046010441,192.34775,86
3000,-231.36075732707863,-232.22176904113508,190.83871,88
3100,-209.74997973829053,-232.22176904113508,175.18567,90
3200,-207.6527567442334,-232.22176904113508,176.899,92
3300,-183.1860014194399,-232.22176904113508,171.38814,94
3400,-215.33120833207818,-232.22176904113508,152.44437,96
3500,-215.33120833207818,-180.21354776185734,179.20291,96
3600,-190.4684955384484,-180.21354776185734,171.46205,98
3700,-190.4684955384484,-180.21354776185734,170.3723,98
3800,-190.4684955384484,-180.21354776185734,149.93092,98
3900,-179.9880728211171,-180.21354776185734,159.34908,100
4000,-179.9880728211171,-96.68983915098563,147.61858,100
4100,-170.1296690585536,-96.68983915098563,131.04996,102
4200,-170.1296690585536,-96.68983915098563,173.5454,102
4300,-170.1296690585536,-96.68983915098563,168.65352,102
4400,-162.71967167972002,-96.68983915098563,149.6178,104
4500,-162.71967167972002,-124.55959041976048,142.36378,104
4600,-147.09232940029,-124.55959041976048,169.32512,106
4700,-147.09232940029,-124.55959041976048,101.18716,106
4800,-147.09232940029,-124.55959041976048,160.36435,106
4900,-139.81954927197503,-124.55959041976048,128.99008,108
5000,-165.05213080595286,-10.920060852220994,119.05349,110
5100,-159.84643358641907,-10.920060852220994,134.99268,112
