Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-130.38880370727924,nan,0
100,-100.0,-130.38880370727924,nan,99
200,-100.0,-130.38880370727924,nan,199
300,-100.0,-130.38880370727924,9976.177,299
400,-100.0,-130.38880370727924,9970.521,399
500,-100.0,-142.25126048387727,9924.022,499
600,-100.0,-142.25126048387727,9844.903,599
700,-100.0,-142.25126048387727,9797.051,699
800,-100.0,-142.25126048387727,9741.838,799
900,-100.0,-142.25126048387727,9677.987,899
1000,-100.0,-579.3097290249196,9603.72,999
1100,-100.0,-579.3097290249196,9495.972,1099
1200,-100.0,-579.3097290249196,9367.155,1199
1300,-100.0,-579.3097290249196,9202.177,1299
1400,-100.0,-579.3097290249196,9028.474,1399
1500,-100.0,-503.9757967613191,8808.367,1499
1600,-100.0,-503.9757967613191,8577.729,1599
1700,-100.0,-503.9757967613191,8334.057,1699
1800,-100.0,-503.9757967613191,8097.1294,1799
1900,-100.0,-503.9757967613191,7838.615,1899
2000,-80.0,-125.39279692765425,7621.0566,1999
2100,-100.0,-125.39279692765425,7404.3223,2099
2200,-100.0,-125.39279692765425,7245.273,2199
2300,-100.0,-125.39279692765425,7113.8496,2299
2400,-100.0,-125.39279692765425,6975.7886,2399
2500,-100.0,-141.87524023586283,6866.9604,2499
2600,-100.0,-141.87524023586283,6748.142,2599
2700,-100.0,-141.87524023586283,6610.0933,2699
2800,-100.0,-141.87524023586283,6508.884,2799
2900,-100.0,-141.87524023586283,6407.1836,2899
3000,-100.0,-131.7176426940743,6289.3633,2999
3100,-100.0,-131.7176426940743,6136.698,3099
3200,-100.0,-131.7176426940743,5991.8833,3199
3300,-100.0,-131.7176426940743,5804.4507,3299
3400,-100.0,-131.7176426940743,5486.264,3399
3500,-100.0,-637.4852185196072,5422.38,3499
3600,-100.0,-637.4852185196072,5643.9106,3599
3700,-100.0,-637.4852185196072,5322.7695,3699
3800,-100.0,-637.4852185196072,5117.683,3799
3900,-100.0,-637.4852185196072,4880.492,3899
4000,-100.0,-478.2006573204866,4663.1133,3999
4100,-100.0,-478.2006573204866,4482.673,4099
4200,-100.0,-478.2006573204866,4279.405,4199
4300,-90.0,-478.2006573204866,4091.7935,4299
4400,-100.0,-478.2006573204866,3847.9375,4399
4500,-90.0,-569.1907581094538,3654.1265,4499
4600,-100.0,-569.1907581094538,3485.5344,4599
4700,-100.0,-569.1907581094538,3205.2065,4699
4800,-100.0,-569.1907581094538,3021.706,4799
4900,-100.0,-569.1907581094538,2776.1213,4899
5000,-100.0,-592.8355312507302,2641.15,4999
5100,-100.0,-592.8355312507302,2435.1765,5099
5200,-90.0,-592.8355312507302,2313.2239,5199
5300,-90.0,-592.8355312507302,2151.0889,5299
5400,-90.0,-592.8355312507302,2009.7122,5399
5500,-90.0,-708.3059211754205,1899.2203,5499
5600,-100.0,-708.3059211754205,1870.9371,5599
5700,-100.0,-708.3059211754205,1721.155,5699
5800,-100.0,-708.3059211754205,1567.0082,5799
5900,-100.0,-708.3059211754205,1494.99,5899
6000,-100.0,-605.2338644964748,1444.8501,5999
6100,-100.0,-605.2338644964748,1289.0931,6099
6200,-90.0,-605.2338644964748,1298.349,6199
6300,-100.0,-605.2338644964748,1268.4901,6299
6400,-100.0,-605.2338644964748,1250.3721,6399
6500,-100.0,-617.5671939071789,1222.3887,6499
6600,-100.0,-617.5671939071789,1186.1252,6599
6700,-100.0,-617.5671939071789,1160.6985,6699
6800,-100.0,-617.5671939071789,1128.4858,6799
6900,-90.0,-617.5671939071789,1112.272,6899
7000,-100.0,-640.0616718992428,1059.9612,6999
7100,-100.0,-640.0616718992428,1056.5691,7099
7200,-100.0,-640.0616718992428,1112.6233,7199
7300,-100.0,-640.0616718992428,1126.7798,7299
7400,-100.0,-640.0616718992428,1164.0175,7399
7500,-100.0,-570.3630169679041,1165.7765,7499
7600,-100.0,-570.3630169679041,1187.9066,7599
7700,-100.0,-570.3630169679041,1174.7974,7699
7800,-100.0,-570.3630169679041,1126.4119,7799
7900,-100.0,-570.3630169679041,1382.3126,7899
8000,-100.0,-733.3346014040415,2256.5864,7999
8100,-100.0,-733.3346014040415,2263.2585,8099
8200,-100.0,-733.3346014040415,1935.6536,8199
8300,-100.0,-733.3346014040415,1768.519,8299
8400,-100.0,-733.3346014040415,1700.9856,8399
8500,-100.0,-532.2486855307599,1518.7426,8499
8600,-100.0,-532.2486855307599,1342.2145,8599
8700,-100.0,-532.2486855307599,1208.8804,8699
8800,-100.0,-532.2486855307599,1106.0856,8799
8900,-100.0,-532.2486855307599,1026.6371,8899
9000,-100.0,-582.2070942165458,997.4333,8999
9100,-100.0,-582.2070942165458,937.05005,9099
9200,-100.0,-582.2070942165458,898.15564,9199
9300,-100.0,-582.2070942165458,846.17694,9299
9400,-100.0,-582.2070942165458,903.8425,9399
9500,-100.0,-136.51190283492323,913.38776,9499
9600,-100.0,-136.51190283492323,897.3025,9599
9700,80.0,-136.51190283492323,866.0541,9699
9800,-100.0,-136.51190283492323,903.9698,9799
9900,-100.0,-136.51190283492323,895.04333,9899
10000,-100.0,-149.695797482334,903.11554,9999
10100,-100.0,-149.695797482334,834.27814,10099
10200,-100.0,-149.695797482334,870.84326,10199
10300,-100.0,-149.695797482334,890.59814,10299
10400,-20.0,-149.695797482334,933.4494,10399
10500,-100.0,-126.90904778344698,973.7458,10499
10600,-100.0,-126.90904778344698,916.75366,10599
10700,-100.0,-126.90904778344698,948.5609,10699
10800,-100.0,-126.90904778344698,911.4136,10799
10900,-100.0,-126.90904778344698,963.77704,10899
11000,-100.0,-125.71511178123217,874.37714,10999
11100,-100.0,-125.71511178123217,939.51654,11099
11200,-100.0,-125.71511178123217,896.81537,11199
11300,-100.0,-125.71511178123217,901.5183,11299
11400,40.0,-125.71511178123217,933.9899,11399
11500,-100.0,-158.31303784982035,1015.61975,11499
11600,-60.0,-158.31303784982035,973.9176,11599
11700,-100.0,-158.31303784982035,1002.1024,11699
11800,-60.0,-158.31303784982035,1010.6654,11799
11900,30.0,-158.31303784982035,1130.5162,11899
12000,-100.0,-127.97319201841488,1085.5087,11999
12100,-100.0,-127.97319201841488,1114.0674,12099
12200,-20.0,-127.97319201841488,1095.72,12199
12300,-100.0,-127.97319201841488,1306.9572,12299
12400,-100.0,-127.97319201841488,1244.9552,12399
12500,100.0,-163.18520452048526,1383.6722,12499
12600,-100.0,-163.18520452048526,1487.6133,12599
12700,-100.0,-163.18520452048526,1510.4714,12699
12800,-100.0,-163.18520452048526,1544.986,12799
12900,-100.0,-163.18520452048526,1565.022,12899
13000,-100.0,-122.27714843508302,1558.2858,12999
13100,-100.0,-122.27714843508302,1564.994,13099
13200,-100.0,-122.27714843508302,1563.0721,13199
13300,-100.0,-122.27714843508302,1565.4648,13299
13400,-100.0,-122.27714843508302,1588.381,13399
13500,-100.0,-134.86496682851094,1580.8636,13499
13600,-100.0,-134.86496682851094,1655.6975,13599
13700,60.0,-134.86496682851094,1684.8756,13699
13800,-100.0,-134.86496682851094,1669.5431,13799
