Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-130.38880370727924,nan,0
100,-100.0,-130.38880370727924,nan,99
200,-100.0,-130.38880370727924,nan,199
300,-100.0,-130.38880370727924,9976.177,299
400,-100.0,-130.38880370727924,9970.521,399
500,-100.0,-142.25126048387727,9924.022,499
600,-100.0,-142.25126048387727,9844.903,599
700,-100.0,-142.25126048387727,9797.051,699
800,-100.0,-142.25126048387727,9741.838,799
900,-100.0,-142.25126048387727,9677.988,899
1000,-100.0,-579.3097290249196,9603.747,999
1100,-100.0,-579.3097290249196,9495.995,1099
1200,-100.0,-579.3097290249196,9367.188,1199
1300,-100.0,-579.3097290249196,9202.221,1299
1400,-100.0,-579.3097290249196,9028.551,1399
1500,-100.0,-503.9757967613191,8808.441,1499
1600,-100.0,-503.9757967613191,8577.805,1599
1700,-100.0,-503.9757967613191,8333.784,1699
1800,-100.0,-503.9757967613191,8091.129,1799
1900,-100.0,-503.9757967613191,7834.987,1899
2000,-80.0,-127.38079287688038,7624.1963,1999
2100,-100.0,-127.38079287688038,7424.7036,2099
2200,-100.0,-127.38079287688038,7261.361,2199
2300,-40.0,-127.38079287688038,7121.1245,2299
2400,-100.0,-127.38079287688038,6990.834,2399
2500,-100.0,-136.31059297919575,6868.509,2499
2600,-100.0,-136.31059297919575,6744.2183,2599
2700,-100.0,-136.31059297919575,6611.96,2699
2800,-100.0,-136.31059297919575,6519.678,2799
2900,-100.0,-136.31059297919575,6423.06,2899
3000,-100.0,-121.03684065819368,6300.5005,2999
3100,-100.0,-121.03684065819368,6133.426,3099
3200,-100.0,-121.03684065819368,5975.1323,3199
3300,-100.0,-121.03684065819368,5827.2417,3299
3400,-100.0,-121.03684065819368,5603.3057,3399
3500,-100.0,-861.8253338891197,5246.888,3499
3600,-100.0,-861.8253338891197,4924.385,3599
3700,-100.0,-861.8253338891197,4644.248,3699
3800,-100.0,-861.8253338891197,4644.0835,3799
3900,-100.0,-861.8253338891197,4973.9316,3899
4000,-100.0,-112.17315198081853,5330.4907,3999
4100,-100.0,-112.17315198081853,5156.602,4099
4200,-100.0,-112.17315198081853,4832.6934,4199
4300,-100.0,-112.17315198081853,4676.523,4299
4400,-100.0,-112.17315198081853,4527.55,4399
4500,-100.0,-135.53510358495822,4434.2925,4499
4600,-100.0,-135.53510358495822,4369.346,4599
4700,-100.0,-135.53510358495822,4294.7593,4699
4800,-100.0,-135.53510358495822,4198.13,4799
4900,-90.0,-135.53510358495822,4162.468,4899
5000,-20.0,-141.49166941886978,4105.3965,4999
5100,-100.0,-141.49166941886978,4058.4126,5099
5200,-100.0,-141.49166941886978,4011.1917,5199
5300,-100.0,-141.49166941886978,3917.6929,5299
5400,-100.0,-141.49166941886978,3862.5696,5399
5500,-50.0,-119.69979912243264,3832.5505,5499
5600,-100.0,-119.69979912243264,3776.7725,5599
5700,-100.0,-119.69979912243264,3662.5146,5699
5800,-100.0,-119.69979912243264,3557.4902,5799
5900,-100.0,-119.69979912243264,3547.8557,5899
6000,-100.0,-125.83520577477186,3403.3684,5999
6100,-100.0,-125.83520577477186,3318.0159,6099
6200,-100.0,-125.83520577477186,3219.532,6199
6300,-100.0,-125.83520577477186,3117.277,6299
6400,-100.0,-125.83520577477186,3038.5818,6399
6500,-20.0,-170.00460980980966,2917.8293,6499
6600,-100.0,-170.00460980980966,2868.3115,6599
6700,-100.0,-170.00460980980966,2729.3882,6699
6800,-100.0,-170.00460980980966,2683.8171,6799
6900,60.0,-170.00460980980966,2583.4578,6899
7000,-100.0,-125.64579517833552,2548.3691,6999
7100,-100.0,-125.64579517833552,2453.071,7099
7200,-100.0,-125.64579517833552,2398.1123,7199
7300,-100.0,-125.64579517833552,2357.8179,7299
7400,-80.0,-125.64579517833552,2237.81,7399
7500,-100.0,-119.92575297314295,2169.0562,7499
7600,-60.0,-119.92575297314295,2157.8987,7599
7700,-100.0,-119.92575297314295,2102.5627,7699
7800,-100.0,-119.92575297314295,2022.5598,7799
7900,-40.0,-119.92575297314295,2074.6235,7899
8000,-50.0,-141.01823315577928,2066.6875,7999
8100,-100.0,-141.01823315577928,2044.2906,8099
8200,-100.0,-141.01823315577928,1966.9318,8199
8300,-100.0,-141.01823315577928,2024.8308,8299
8400,30.0,-141.01823315577928,1948.6313,8399
8500,-80.0,-122.61746538708262,2017.1116,8499
8600,-100.0,-122.61746538708262,1931.606,8599
8700,-100.0,-122.61746538708262,2015.976,8699
8800,-100.0,-122.61746538708262,2015.7806,8799
8900,-100.0,-122.61746538708262,1982.0046,8899
9000,-100.0,-146.81553163990853,2054.0413,8999
9100,-100.0,-146.81553163990853,1972.2968,9099
9200,-100.0,-146.81553163990853,1991.5817,9199
9300,-100.0,-146.81553163990853,1898.8042,9299
9400,-100.0,-146.81553163990853,1984.6871,9399
9500,-100.0,-131.48963302179996,2145.03,9499
9600,-100.0,-131.48963302179996,2018.2853,9599
9700,-100.0,-131.48963302179996,1918.6842,9699
9800,-100.0,-131.48963302179996,2050.9875,9799
9900,-100.0,-131.48963302179996,2086.8093,9899
10000,-100.0,-138.18930622330117,2100.0771,9999
10100,-100.0,-138.18930622330117,2136.3877,10099
10200,-100.0,-138.18930622330117,1948.9243,10199
10300,-100.0,-138.18930622330117,1932.3782,10299
10400,-100.0,-138.18930622330117,1904.1697,10399
10500,-100.0,-126.84893857868458,1761.5814,10499
10600,-100.0,-126.84893857868458,1842.8339,10599
10700,-100.0,-126.84893857868458,1767.783,10699
10800,-60.0,-126.84893857868458,1751.6553,10799
10900,-100.0,-126.84893857868458,1790.0422,10899
11000,-100.0,-147.92712454775602,1766.2273,10999
11100,-100.0,-147.92712454775602,1747.21,11099
11200,-100.0,-147.92712454775602,1745.3462,11199
11300,-70.0,-147.92712454775602,1803.2805,11299
11400,-60.0,-147.92712454775602,1815.6925,11399
11500,-100.0,-143.7291283810865,1754.5172,11499
11600,-100.0,-143.7291283810865,1791.0442,11599
11700,-100.0,-143.7291283810865,1835.75,11699
11800,-100.0,-143.7291283810865,1829.7065,11799
11900,-100.0,-143.7291283810865,1702.6058,11899
12000,20.0,-128.88463000496705,1640.9414,11999
12100,-100.0,-128.88463000496705,1620.0792,12099
12200,0.0,-128.88463000496705,1676.679,12199
12300,-100.0,-128.88463000496705,1867.0298,12299
12400,-100.0,-128.88463000496705,1860.4828,12399
12500,0.0,-117.55377105563385,1982.052,12499
12600,-100.0,-117.55377105563385,2033.2264,12599
12700,-100.0,-117.55377105563385,2022.7153,12699
12800,-100.0,-117.55377105563385,2099.3357,12799
12900,-100.0,-117.55377105563385,2130.499,12899
13000,-100.0,-156.9160593674516,2041.3141,12999
13100,-100.0,-156.9160593674516,2033.1938,13099
13200,10.0,-156.9160593674516,2092.4143,13199
13300,-100.0,-156.9160593674516,2139.0552,13299
13400,-100.0,-156.9160593674516,2110.3943,13399
13500,-10.0,-117.85839282713016,2199.425,13499
13600,-100.0,-117.85839282713016,2356.8997,13599
13700,50.0,-117.85839282713016,2317.3354,13699
