Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-130.38880370727924,nan,0
100,-100.0,-130.38880370727924,9901.842,99
200,-100.0,-130.38880370727924,9934.006,199
300,-100.0,-130.38880370727924,9937.226,299
400,-100.0,-130.38880370727924,9896.84,399
500,-100.0,-135.1935331719309,9744.627,499
600,-100.0,-135.1935331719309,9578.616,599
700,-100.0,-135.1935331719309,9503.115,699
800,-100.0,-135.1935331719309,9449.766,799
900,-100.0,-135.1935331719309,9367.576,899
1000,-90.0,-857.2350955455961,9246.22,999
1100,-100.0,-857.2350955455961,9075.653,1099
1200,-100.0,-857.2350955455961,8713.541,1199
1300,-100.0,-857.2350955455961,8236.8,1299
1400,-100.0,-857.2350955455961,7522.975,1399
1500,-100.0,-698.4052691961615,6799.103,1499
1600,-100.0,-698.4052691961615,6150.463,1599
1700,-100.0,-698.4052691961615,5783.862,1699
1800,-100.0,-698.4052691961615,5524.7925,1799
1900,-100.0,-698.4052691961615,5354.449,1899
2000,-100.0,-390.2752824703137,5019.0264,1999
2100,-100.0,-390.2752824703137,4804.049,2099
2200,-100.0,-390.2752824703137,4688.6367,2199
2300,-100.0,-390.2752824703137,4532.571,2299
2400,-100.0,-390.2752824703137,4196.1567,2399
2500,-100.0,-420.38824672723985,4167.0566,2499
2600,-100.0,-420.38824672723985,4410.618,2599
2700,-100.0,-420.38824672723985,4359.938,2699
2800,-100.0,-420.38824672723985,4432.359,2799
2900,-90.0,-420.38824672723985,4340.5938,2899
3000,-100.0,-597.7599061961687,4398.858,2999
3100,-100.0,-597.7599061961687,4419.276,3099
3200,-100.0,-597.7599061961687,4390.663,3199
3300,-100.0,-597.7599061961687,4395.6426,3299
3400,-100.0,-597.7599061961687,4325.0283,3399
3500,-100.0,-731.8332342799142,4276.575,3499
3600,-100.0,-731.8332342799142,4219.8545,3599
3700,-100.0,-731.8332342799142,4141.302,3699
3800,-100.0,-731.8332342799142,4022.3157,3799
3900,-100.0,-731.8332342799142,3962.9678,3899
4000,-100.0,-782.5649795652968,3858.8394,3999
4100,-100.0,-782.5649795652968,3714.2341,4099
4200,-100.0,-782.5649795652968,3483.921,4199
4300,-100.0,-782.5649795652968,3289.8135,4299
4400,-100.0,-782.5649795652968,3165.953,4399
4500,-100.0,-728.8776340144323,3211.5493,4499
4600,-100.0,-728.8776340144323,3177.2944,4599
4700,-100.0,-728.8776340144323,3022.0522,4699
4800,-100.0,-728.8776340144323,2846.3157,4799
4900,-100.0,-728.8776340144323,2691.587,4899
5000,-100.0,-903.6841078381389,2679.208,4999
5100,-100.0,-903.6841078381389,2587.8096,5099
5200,-100.0,-903.6841078381389,2481.3384,5199
5300,-100.0,-903.6841078381389,2385.5183,5299
5400,-100.0,-903.6841078381389,2263.2334,5399
5500,-100.0,-767.9343499574373,2229.6582,5499
5600,-100.0,-767.9343499574373,2179.3738,5599
5700,-100.0,-767.9343499574373,2051.5544,5699
5800,-100.0,-767.9343499574373,2036.4152,5799
5900,-100.0,-767.9343499574373,2350.7102,5899
6000,-100.0,-544.6110848571165,2776.331,5999
6100,-100.0,-544.6110848571165,3032.147,6099
6200,-100.0,-544.6110848571165,2801.3591,6199
6300,-100.0,-544.6110848571165,2635.24,6299
6400,-100.0,-544.6110848571165,2633.92,6399
6500,-100.0,-819.27042960715,2770.4944,6499
6600,-100.0,-819.27042960715,2958.4473,6599
6700,-100.0,-819.27042960715,2758.882,6699
6800,-100.0,-819.27042960715,2668.616,6799
6900,-100.0,-819.27042960715,2696.8289,6899
7000,-100.0,-1076.2781714859357,2939.5205,6999
7100,-100.0,-1076.2781714859357,3141.9937,7099
7200,-100.0,-1076.2781714859357,2932.9822,7199
7300,-100.0,-1076.2781714859357,2854.6694,7299
7400,-100.0,-1076.2781714859357,2698.8247,7399
7500,-100.0,-705.39551985242,2625.3115,7499
7600,-100.0,-705.39551985242,2660.1584,7599
7700,-100.0,-705.39551985242,2629.5234,7699
7800,-100.0,-705.39551985242,2547.757,7799
7900,-100.0,-705.39551985242,2466.5723,7899
8000,-100.0,-485.31602623848346,2390.2139,7999
8100,-100.0,-485.31602623848346,2337.56,8099
8200,-100.0,-485.31602623848346,2309.5305,8199
8300,-100.0,-485.31602623848346,2219.1619,8299
8400,-100.0,-485.31602623848346,2165.074,8399
8500,-100.0,-876.785439252962,2120.721,8499
8600,-100.0,-876.785439252962,2065.3726,8599
8700,-100.0,-876.785439252962,1996.0061,8699
8800,-100.0,-876.785439252962,1916.1583,8799
8900,-100.0,-876.785439252962,1945.673,8899
9000,-100.0,-1240.0898176301444,1831.9368,8999
9100,-100.0,-1240.0898176301444,1797.3226,9099
9200,-100.0,-1240.0898176301444,1756.1162,9199
9300,-100.0,-1240.0898176301444,1704.4996,9299
9400,-100.0,-1240.0898176301444,1779.4011,9399
9500,-100.0,-922.9763899453555,2030.7372,9499
9600,-100.0,-922.9763899453555,2113.333,9599
9700,-100.0,-922.9763899453555,2068.6313,9699
9800,-100.0,-922.9763899453555,2007.246,9799
9900,-100.0,-922.9763899453555,1879.7446,9899
10000,-100.0,-743.9927451212654,1861.5116,9999
10100,-100.0,-743.9927451212654,1775.1898,10099
10200,-100.0,-743.9927451212654,1726.3625,10199
10300,-100.0,-743.9927451212654,1667.5062,10299
10400,-100.0,-743.9927451212654,1634.6631,10399
10500,-100.0,-1122.2163872918713,1582.5188,10499
10600,-100.0,-1122.2163872918713,1505.6753,10599
10700,-100.0,-1122.2163872918713,1439.8745,10699
10800,-100.0,-1122.2163872918713,1427.0073,10799
10900,-100.0,-1122.2163872918713,1352.058,10899
11000,-100.0,-1028.4416008202234,1291.6893,10999
11100,-100.0,-1028.4416008202234,1339.549,11099
11200,-100.0,-1028.4416008202234,1322.6261,11199
11300,-100.0,-1028.4416008202234,1289.175,11299
11400,-100.0,-1028.4416008202234,1260.5096,11399
11500,-100.0,-1239.0829310214967,1190.0961,11499
11600,-100.0,-1239.0829310214967,1201.4604,11599
11700,-100.0,-1239.0829310214967,1226.3032,11699
11800,-100.0,-1239.0829310214967,1237.519,11799
11900,-100.0,-1239.0829310214967,1178.2753,11899
12000,-100.0,-739.6955370157441,1124.9307,11999
12100,-100.0,-739.6955370157441,1101.8152,12099
12200,-100.0,-739.6955370157441,1079.6339,12199
12300,-100.0,-739.6955370157441,1068.7153,12299
12400,-100.0,-739.6955370157441,1026.519,12399
12500,-100.0,-724.0798591614277,968.2966,12499
12600,-100.0,-724.0798591614277,993.50024,12599
12700,-100.0,-724.0798591614277,1012.9956,12699
12800,-100.0,-724.0798591614277,1022.98914,12799
12900,-100.0,-724.0798591614277,1051.8036,12899
13000,-100.0,-587.3686286054658,1057.4343,12999
13100,-100.0,-587.3686286054658,1072.8688,13099
13200,-100.0,-587.3686286054658,1031.9109,13199
13300,-100.0,-587.3686286054658,1073.7836,13299
13400,-100.0,-587.3686286054658,1037.821,13399
13500,-100.0,-622.2613484652742,1041.5288,13499
13600,-100.0,-622.2613484652742,1048.8748,13599
13700,-100.0,-622.2613484652742,1018.70654,13699
13800,-100.0,-622.2613484652742,972.721,13799
13900,-100.0,-622.2613484652742,961.9648,13899
14000,-38.95032454183898,-588.0132864172608,907.7913,13999
14100,-100.0,-588.0132864172608,905.1614,14099
14200,-100.0,-588.0132864172608,951.28516,14199
14300,-100.0,-588.0132864172608,1405.3246,14299
14400,-100.0,-588.0132864172608,2204.2188,14399
14500,-100.0,-813.038275875043,3035.5532,14499
14600,-100.0,-813.038275875043,2575.8625,14599
14700,-100.0,-813.038275875043,2207.526,14699
14800,-100.0,-813.038275875043,1980.9684,14799
14900,-100.0,-813.038275875043,1758.5278,14899
15000,-100.0,-733.3145702065902,1473.6758,14999
15100,-100.0,-733.3145702065902,1479.465,15099
15200,-100.0,-733.3145702065902,1365.277,15199
15300,-100.0,-733.3145702065902,1318.7863,15299
15400,-100.0,-733.3145702065902,1226.2921,15399
15500,-100.0,-804.4792407417593,1223.468,15499
15600,-100.0,-804.4792407417593,1168.5038,15599
15700,-100.0,-804.4792407417593,1165.5504,15699
15800,-100.0,-804.4792407417593,1132.4126,15799
15900,-100.0,-804.4792407417593,1086.8684,15899
16000,-100.0,-743.0357381220022,1030.369,15999
16100,-100.0,-743.0357381220022,1048.1918,16099
16200,-100.0,-743.0357381220022,1028.8331,16199
16300,-100.0,-743.0357381220022,985.0857,16299
16400,-100.0,-743.0357381220022,966.67865,16399
16500,-100.0,-660.015301586085,1008.42755,16499
16600,-100.0,-660.015301586085,978.4724,16599
16700,-100.0,-660.015301586085,988.3077,16699
16800,-100.0,-660.015301586085,959.209,16799
16900,-100.0,-660.015301586085,957.48065,16899
17000,-100.0,-629.1553722510146,902.37036,16999
17100,-100.0,-629.1553722510146,883.8384,17099
17200,-100.0,-629.1553722510146,840.10315,17199
17300,-100.0,-629.1553722510146,838.8385,17299
17400,-100.0,-629.1553722510146,856.5543,17399
17500,-100.0,-121.2844844025969,804.4302,17499
17600,-100.0,-121.2844844025969,805.70874,17599
17700,-100.0,-121.2844844025969,814.41583,17699
17800,-100.0,-121.2844844025969,840.5616,17799
17900,-100.0,-121.2844844025969,836.37616,17899
18000,-100.0,-102.18038078399513,825.54877,17999
18100,-3.770506186074358,-102.18038078399513,836.71643,18099
18200,-100.0,-102.18038078399513,799.27966,18199
18300,-100.0,-102.18038078399513,751.05493,18299
18400,-100.0,-102.18038078399513,767.12445,18399
18500,-100.0,-704.0939637490287,739.42126,18499
18600,-100.0,-704.0939637490287,708.8949,18599
18700,-100.0,-704.0939637490287,668.83795,18699
18800,-100.0,-704.0939637490287,659.4292,18799
18900,-100.0,-704.0939637490287,601.2563,18899
19000,-100.0,-498.1403387103013,607.8921,18999
19100,-100.0,-498.1403387103013,604.10767,19099
19200,-100.0,-498.1403387103013,593.15393,19199
19300,-100.0,-498.1403387103013,561.17126,19299
19400,-100.0,-498.1403387103013,578.70465,19399
19500,-100.0,-313.00483911215866,584.2931,19499
19600,-100.0,-313.00483911215866,562.0878,19599
19700,-100.0,-313.00483911215866,521.4879,19699
19800,-100.0,-313.00483911215866,520.09393,19799
19900,-100.0,-313.00483911215866,522.48883,19899
20000,-100.0,-92.34220625493613,472.8218,19999
20100,-100.0,-92.34220625493613,489.77206,20099
20200,-100.0,-92.34220625493613,473.75192,20199
20300,-100.0,-92.34220625493613,501.6916,20299
20400,-100.0,-92.34220625493613,510.0116,20399
20500,-100.0,-375.9423508717665,499.0254,20499
20600,-100.0,-375.9423508717665,483.69418,20599
20700,-100.0,-375.9423508717665,463.03934,20699
20800,-100.0,-375.9423508717665,444.21884,20799
20900,-100.0,-375.9423508717665,415.75513,20899
21000,-100.0,-1095.2561801901727,410.77353,20999
21100,-100.0,-1095.2561801901727,423.22598,21099
21200,-100.0,-1095.2561801901727,404.531,21199
21300,-100.0,-1095.2561801901727,372.13675,21299
21400,-100.0,-1095.2561801901727,367.52945,21399
21500,-100.0,-793.4801392074692,393.82056,21499
21600,-100.0,-793.4801392074692,428.8906,21599
21700,-100.0,-793.4801392074692,372.12482,21699
21800,-100.0,-793.4801392074692,391.04803,21799
21900,-100.0,-793.4801392074692,363.10046,21899
22000,-100.0,-607.8476830281564,326.47214,21999
22100,-100.0,-607.8476830281564,322.47525,22099
22200,-100.0,-607.8476830281564,288.85828,22199
22300,-100.0,-607.8476830281564,287.79993,22299
22400,-100.0,-607.8476830281564,291.84192,22399
22500,-100.0,-1349.342945863416,304.35696,22499
22600,-100.0,-1349.342945863416,278.5543,22599
22700,-100.0,-1349.342945863416,259.52173,22699
22800,-100.0,-1349.342945863416,268.5296,22799
22900,-100.0,-1349.342945863416,248.59418,22899
23000,-100.0,-1278.3000889267419,239.17264,22999
23100,-100.0,-1278.3000889267419,223.11047,23099
23200,-100.0,-1278.3000889267419,205.10303,23199
23300,-100.0,-1278.3000889267419,234.93727,23299
23400,-100.0,-1278.3000889267419,240.47096,23399
