Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-727.2915449834734,nan,0
100,-100.0,-727.2915449834734,87.519714,99
200,-100.0,-727.2915449834734,-158347.02,199
300,-100.0,-727.2915449834734,-24510034.0,299
400,-100.0,-727.2915449834734,-493298430.0,399
500,-100.0,-661.3508676026506,-3839961600.0,499
600,-100.0,-661.3508676026506,-14941863000.0,599
700,-100.0,-661.3508676026506,-39237280000.0,699
800,-100.0,-661.3508676026506,-86021980000.0,799
900,-100.0,-661.3508676026506,-168444840000.0,899
1000,-100.0,-532.0163541730278,-300009800000.0,999
1100,-100.0,-532.0163541730278,-493332730000.0,1099
1200,-100.0,-532.0163541730278,-757621260000.0,1199
1300,-100.0,-532.0163541730278,-1101445900000.0,1299
1400,-100.0,-532.0163541730278,-1433094800000.0,1399
1500,-100.0,-1058.1167959405693,-1863464600000.0,1499
1600,-100.0,-1058.1167959405693,-2653800000000.0,1599
1700,-100.0,-1058.1167959405693,-3611238000000.0,1636
1800,-100.0,-1058.1167959405693,-5710332000000.0,1731
1900,-100.0,-1058.1167959405693,-8593643000000.0,1831
2000,-100.0,-133.5108674126561,-12937458000000.0,1931
2100,-100.0,-133.5108674126561,-16277283000000.0,2031
2200,-100.0,-133.5108674126561,-19289111000000.0,2131
2300,-100.0,-133.5108674126561,-22070670000000.0,2231
2400,-100.0,-133.5108674126561,-25600232000000.0,2331
2500,-100.0,-1119.9739366326487,-29991040000000.0,2431
2600,-100.0,-1119.9739366326487,-34432942000000.0,2531
2700,-100.0,-1119.9739366326487,-37273073000000.0,2631
2800,-100.0,-1119.9739366326487,-39610416000000.0,2731
2900,-100.0,-1119.9739366326487,-44003470000000.0,2831
3000,-100.0,-650.6348869503396,-52066970000000.0,2931
3100,-100.0,-650.6348869503396,-57364573000000.0,3031
3200,-100.0,-650.6348869503396,-61346310000000.0,3131
3300,-90.0,-650.6348869503396,-70572040000000.0,3231
3400,-100.0,-650.6348869503396,-76611870000000.0,3331
3500,0.0,-164.87698369058896,-84433330000000.0,3431
3600,-100.0,-164.87698369058896,-90417200000000.0,3531
3700,-100.0,-164.87698369058896,-95994510000000.0,3631
3800,-100.0,-164.87698369058896,-102563120000000.0,3731
3900,-100.0,-164.87698369058896,-123665310000000.0,3831
4000,-100.0,-581.9954649251094,-133818230000000.0,3931
4100,-100.0,-581.9954649251094,-150128900000000.0,4031
4200,-70.0,-581.9954649251094,-182424290000000.0,4131
4300,100.0,-581.9954649251094,-188618600000000.0,4231
4400,-80.0,-581.9954649251094,-207904570000000.0,4331
4500,-70.0,-141.08424179313423,-232585310000000.0,4431
4600,-100.0,-141.08424179313423,-241855110000000.0,4531
4700,-100.0,-141.08424179313423,-240789600000000.0,4631
4800,-100.0,-141.08424179313423,-266535990000000.0,4731
4900,-100.0,-141.08424179313423,-277745620000000.0,4831
5000,-90.0,-531.9445422317797,-284933600000000.0,4931
5100,-100.0,-531.9445422317797,-311894250000000.0,5031
5200,-100.0,-531.9445422317797,-366708130000000.0,5131
5300,-100.0,-531.9445422317797,-357138980000000.0,5231
5400,-100.0,-531.9445422317797,-382893500000000.0,5331
5500,-40.0,-133.24049298422815,-407410900000000.0,5431
5600,-100.0,-133.24049298422815,-433127150000000.0,5531
5700,-100.0,-133.24049298422815,-449951780000000.0,5631
5800,-100.0,-133.24049298422815,-504462430000000.0,5731
5900,-100.0,-133.24049298422815,-514368070000000.0,5831
6000,-100.0,-115.20261888209093,-511174600000000.0,5931
6100,-100.0,-115.20261888209093,-565465660000000.0,6031
6200,-90.0,-115.20261888209093,-607735260000000.0,6131
6300,-100.0,-115.20261888209093,-646643570000000.0,6231
6400,-100.0,-115.20261888209093,-685194000000000.0,6331
6500,-100.0,-543.5330110615039,-657418500000000.0,6431
6600,-100.0,-543.5330110615039,-752111000000000.0,6531
6700,-100.0,-543.5330110615039,-722682600000000.0,6631
6800,-100.0,-543.5330110615039,-773785400000000.0,6731
6900,-100.0,-543.5330110615039,-856566600000000.0,6831
7000,-100.0,-461.23975306618695,-922694700000000.0,6931
7100,-100.0,-461.23975306618695,-962355000000000.0,7031
7200,-100.0,-461.23975306618695,-1005245950000000.0,7131
7300,-100.0,-461.23975306618695,-988715200000000.0,7231
7400,-100.0,-461.23975306618695,-983351550000000.0,7331
7500,-100.0,-164.22795833269222,-1122245200000000.0,7431
7600,-100.0,-164.22795833269222,-1203568000000000.0,7531
7700,-100.0,-164.22795833269222,-1336873500000000.0,7631
7800,-100.0,-164.22795833269222,-1347687500000000.0,7731
7900,-100.0,-164.22795833269222,-1428105000000000.0,7831
8000,-100.0,-143.38896573660642,-1731314600000000.0,7931
8100,-100.0,-143.38896573660642,-2105442800000000.0,8031
8200,-100.0,-143.38896573660642,-1997798400000000.0,8131
8300,-100.0,-143.38896573660642,-2132774200000000.0,8231
8400,-100.0,-143.38896573660642,-2345967200000000.0,8331
8500,-100.0,-575.682336198497,-2470258200000000.0,8431
8600,-100.0,-575.682336198497,-2713733700000000.0,8531
8700,-100.0,-575.682336198497,-3088957400000000.0,8631
8800,-100.0,-575.682336198497,-2714731300000000.0,8731
8900,-100.0,-575.682336198497,-2907430300000000.0,8831
9000,-100.0,-656.5291704023647,-3546133600000000.0,8931
9100,-100.0,-656.5291704023647,-3135793500000000.0,9031
9200,-100.0,-656.5291704023647,-3284130400000000.0,9131
9300,-100.0,-656.5291704023647,-3353508000000000.0,9231
9400,-100.0,-656.5291704023647,-3380342700000000.0,9331
9500,-100.0,-141.66800191973766,-3766525500000000.0,9431
9600,-100.0,-141.66800191973766,-3732672600000000.0,9531
9700,-100.0,-141.66800191973766,-4408737000000000.0,9631
9800,-80.0,-141.66800191973766,-4052176600000000.0,9731
9900,-100.0,-141.66800191973766,-4294314500000000.0,9831
10000,-100.0,-135.09203948626185,-3878909000000000.0,9931
10100,-100.0,-135.09203948626185,-3303158000000000.0,10031
10200,-100.0,-135.09203948626185,-1250473800000000.0,10131
10300,-100.0,-135.09203948626185,-1387703400000000.0,10231
10400,-100.0,-135.09203948626185,-1193908800000000.0,10331
10500,-100.0,-557.6585904233634,-1548137100000000.0,10431
10600,-100.0,-557.6585904233634,-1733940200000000.0,10531
10700,-100.0,-557.6585904233634,-1758176700000000.0,10631
10800,-40.0,-557.6585904233634,-1863411800000000.0,10731
10900,-90.0,-557.6585904233634,-1885125400000000.0,10831
11000,-90.0,-575.0549550570644,-1829841200000000.0,10931
11100,-100.0,-575.0549550570644,-2067519300000000.0,11031
11200,-100.0,-575.0549550570644,-1810825600000000.0,11131
11300,-100.0,-575.0549550570644,-1792208700000000.0,11231
11400,-100.0,-575.0549550570644,-1915375000000000.0,11331
11500,-100.0,-626.6149845002936,-1971336400000000.0,11431
11600,-100.0,-626.6149845002936,-2227638200000000.0,11531
11700,-100.0,-626.6149845002936,-2695253000000000.0,11631
11800,-100.0,-626.6149845002936,-3352702200000000.0,11731
11900,-100.0,-626.6149845002936,-3712638200000000.0,11831
12000,-100.0,-595.9326591680167,-4656177000000000.0,11931
12100,-100.0,-595.9326591680167,-4841436000000000.0,12031
12200,-100.0,-595.9326591680167,-4544201000000000.0,12131
12300,-100.0,-595.9326591680167,-4257179000000000.0,12231
12400,-100.0,-595.9326591680167,-4437975200000000.0,12331
12500,-100.0,-565.1731550290509,-4573326300000000.0,12431
12600,-100.0,-565.1731550290509,-4386437800000000.0,12531
12700,-100.0,-565.1731550290509,-4807083600000000.0,12631
12800,-100.0,-565.1731550290509,-4742457000000000.0,12731
12900,-100.0,-565.1731550290509,-5871178000000000.0,12831
13000,-100.0,-770.5158494969307,-9305404000000000.0,12931
