Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-541.6919539475733,nan,0
100,-100.0,-541.6919539475733,9305.281,99
200,-100.0,-541.6919539475733,901.31726,199
300,-90.0,-541.6919539475733,887.454,299
400,-90.0,-541.6919539475733,1388.4521,399
500,-90.0,-576.099080096059,1916.8282,499
600,-100.0,-576.099080096059,11308.776,599
700,-100.0,-576.099080096059,3189.3508,699
800,-100.0,-576.099080096059,21886.71,799
900,-100.0,-576.099080096059,41483.164,899
1000,-100.0,-490.8451729975524,15921.37,999
1100,-100.0,-490.8451729975524,5050.5425,1099
1200,-100.0,-490.8451729975524,5376.9604,1199
1300,-100.0,-490.8451729975524,3243.2732,1299
1400,-100.0,-490.8451729975524,2191.7468,1399
1500,-100.0,-728.3646108107312,1971.7975,1499
1600,-100.0,-728.3646108107312,24631.393,1599
1700,-100.0,-728.3646108107312,18417.932,1699
1800,-100.0,-728.3646108107312,7148.7314,1799
1900,-100.0,-728.3646108107312,15346.572,1899
2000,-100.0,-165.54990181595974,8722.715,1999
2100,-100.0,-165.54990181595974,11496.514,2099
2200,-100.0,-165.54990181595974,8028.6655,2199
2300,-100.0,-165.54990181595974,4745.666,2299
2400,-100.0,-165.54990181595974,2845.8843,2399
2500,-100.0,-667.3507725765905,5078.3457,2499
2600,-100.0,-667.3507725765905,9559.298,2599
2700,-80.0,-667.3507725765905,3045.1743,2699
2800,-70.0,-667.3507725765905,2093.6174,2799
2900,-90.0,-667.3507725765905,1977.0558,2899
3000,-90.0,-621.0121400739231,2131.752,2999
3100,-100.0,-621.0121400739231,2103.8171,3099
3200,-90.0,-621.0121400739231,1643.7528,3199
3300,-90.0,-621.0121400739231,1722.8539,3299
3400,-100.0,-621.0121400739231,1879.3605,3399
3500,-90.0,-112.22000544555394,2025.353,3499
3600,-100.0,-112.22000544555394,2102.625,3599
3700,-100.0,-112.22000544555394,2475.9436,3699
3800,-100.0,-112.22000544555394,2008.6061,3799
3900,-100.0,-112.22000544555394,1761.3806,3899
4000,-100.0,-600.6810990155597,5427.2056,3999
4100,-100.0,-600.6810990155597,1755.8242,4099
4200,-90.0,-600.6810990155597,1781.9849,4199
4300,-90.0,-600.6810990155597,1919.6147,4299
4400,-80.0,-600.6810990155597,1822.4934,4399
4500,-90.0,-139.81040849236666,1676.8878,4499
4600,-100.0,-139.81040849236666,2046.9647,4599
4700,-100.0,-139.81040849236666,1633.6903,4699
4800,-100.0,-139.81040849236666,2360.3584,4799
4900,-100.0,-139.81040849236666,1673.8617,4899
5000,-100.0,-144.86913915383127,2243.3352,4999
5100,-100.0,-144.86913915383127,2439.2322,5099
5200,-100.0,-144.86913915383127,2069.1064,5199
5300,-100.0,-144.86913915383127,1889.4985,5299
5400,-100.0,-144.86913915383127,2131.027,5399
5500,-100.0,-491.6288810597483,2500.1106,5499
5600,-100.0,-491.6288810597483,2041.765,5599
5700,-100.0,-491.6288810597483,1652.4319,5699
5800,-100.0,-491.6288810597483,1693.2115,5799
5900,-100.0,-491.6288810597483,1852.6058,5899
6000,-100.0,-147.1337305533015,2155.6616,5999
6100,-100.0,-147.1337305533015,1642.2515,6099
6200,-100.0,-147.1337305533015,2238.451,6199
6300,-100.0,-147.1337305533015,2393.208,6299
6400,-100.0,-147.1337305533015,2249.3162,6399
6500,-100.0,-146.7403622977822,1764.4539,6499
6600,-100.0,-146.7403622977822,1974.1594,6599
6700,-100.0,-146.7403622977822,1835.4613,6699
6800,-100.0,-146.7403622977822,1918.0875,6799
6900,-100.0,-146.7403622977822,1829.0956,6899
7000,-100.0,-534.5040896333952,1802.186,6999
7100,-100.0,-534.5040896333952,1504.9131,7099
7200,-100.0,-534.5040896333952,2050.4346,7199
7300,-100.0,-534.5040896333952,22523.533,7299
7400,-100.0,-534.5040896333952,5924.3975,7399
7500,-100.0,-732.6673158689849,3921.6296,7499
7600,-100.0,-732.6673158689849,2986.4497,7599
7700,-100.0,-732.6673158689849,2421.7666,7699
7800,-100.0,-732.6673158689849,2250.282,7799
7900,-100.0,-732.6673158689849,1940.6257,7899
