Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-664.6139958571966,nan,0
100,-100.0,-664.6139958571966,9690.526,99
200,-100.0,-664.6139958571966,6045.267,199
300,-100.0,-664.6139958571966,5677.119,299
400,-100.0,-664.6139958571966,8225.644,399
500,-100.0,-647.8707792152409,3957.1226,499
600,-100.0,-647.8707792152409,17700.014,599
700,-100.0,-647.8707792152409,8753.256,699
800,-100.0,-647.8707792152409,13225.98,799
900,-100.0,-647.8707792152409,7467.1523,899
1000,-100.0,-145.84339684511664,8463.662,999
1100,-100.0,-145.84339684511664,50189.09,1099
1200,-100.0,-145.84339684511664,6037.3857,1199
1300,-100.0,-145.84339684511664,8138.8926,1299
1400,-100.0,-145.84339684511664,5278.929,1399
1500,-100.0,-538.5102557422026,3185.8384,1499
1600,-100.0,-538.5102557422026,11697.192,1599
1700,-80.0,-538.5102557422026,5142.5913,1699
1800,-90.0,-538.5102557422026,6239.107,1799
1900,-70.0,-538.5102557422026,2736.7698,1899
2000,-80.0,-731.7310769051151,4013.0115,1999
2100,-100.0,-731.7310769051151,4385.286,2099
2200,-100.0,-731.7310769051151,1492.6295,2199
2300,-100.0,-731.7310769051151,1427.0945,2299
2400,-100.0,-731.7310769051151,1703.1718,2399
2500,-100.0,-560.0340493682372,4388.996,2499
2600,-100.0,-560.0340493682372,1712123.4,2599
2700,-100.0,-560.0340493682372,483018.72,2699
2800,-100.0,-560.0340493682372,116434.28,2799
2900,-100.0,-560.0340493682372,117613.23,2899
3000,-100.0,-604.1790455078432,67166.47,2999
3100,-100.0,-604.1790455078432,90514.11,3099
3200,-90.0,-604.1790455078432,21984.832,3199
3300,-90.0,-604.1790455078432,12687.554,3299
3400,-70.0,-604.1790455078432,10570.755,3399
3500,-90.0,-630.3531763383902,10324.088,3499
3600,-100.0,-630.3531763383902,22283.664,3599
3700,-100.0,-630.3531763383902,13138.593,3699
3800,-100.0,-630.3531763383902,15277.214,3799
3900,-100.0,-630.3531763383902,16326.015,3899
4000,-100.0,-461.27514328496306,24651.898,3999
4100,-100.0,-461.27514328496306,464878.6,4099
4200,-100.0,-461.27514328496306,65741.445,4199
4300,-100.0,-461.27514328496306,10702.815,4299
4400,-100.0,-461.27514328496306,7367.3555,4399
4500,-100.0,-122.71343230817347,5949.802,4499
4600,-100.0,-122.71343230817347,7133.605,4599
4700,-100.0,-122.71343230817347,4667.4893,4699
