Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-324.83861054668716,nan,0
100,-116.50400231181685,-324.83861054668716,nan,2
200,-170.60822053195886,-324.83861054668716,170.60957,3
300,-157.48074258898336,-324.83861054668716,170.02377,4
400,-177.9389400449903,-324.83861054668716,132.35992,5
500,-241.41022544279375,-188.13876896790902,146.7806,7
600,-232.93746927804108,-188.13876896790902,167.87518,9
700,-221.85353178041157,-188.13876896790902,183.5448,11
800,-217.77581915393125,-188.13876896790902,168.40465,12
900,-210.27795542483148,-188.13876896790902,153.26398,13
1000,-201.67488437861027,-175.63349094690722,166.28912,15
1100,-191.12727234198482,-175.63349094690722,157.7514,17
1200,-177.9925214560792,-175.63349094690722,201.55913,19
1300,-177.61635867381707,-175.63349094690722,169.61615,20
1400,-179.9690574293498,-175.63349094690722,183.41135,22
1500,-173.1130027802326,-197.19671159917226,167.41241,24
1600,-148.7872364660709,-197.19671159917226,188.49692,26
1700,-162.48903082698695,-197.19671159917226,178.47574,27
1800,-163.84079962602632,-197.19671159917226,180.96524,28
1900,-152.86850725196243,-197.19671159917226,182.46645,30
2000,-154.77850018102544,-302.1785312317284,224.01318,31
2100,-166.09225641148984,-302.1785312317284,183.25475,33
2200,-162.44822475226457,-302.1785312317284,190.00404,34
2300,-170.92773236480275,-302.1785312317284,228.32361,35
2400,-171.13058077979454,-302.1785312317284,193.87152,36
2500,-189.72512940470708,-289.0277046010441,196.72812,37
2600,-203.5410166937826,-289.0277046010441,179.12154,39
2700,-205.9643934408246,-289.0277046010441,186.9273,41
2800,-208.82275147837368,-289.0277046010441,177.89839,42
2900,-218.14877923907238,-289.0277046010441,192.34775,43
3000,-216.2766385984848,-232.22176904113508,190.83871,44
3100,-217.5154397383505,-232.22176904113508,175.18567,45
3200,-216.33511675146724,-232.22176904113508,176.899,46
3300,-196.79370187314936,-232.22176904113508,171.38814,47
3400,-211.82680652222825,-232.22176904113508,152.44437,48
3500,-211.82680652222825,-180.21354776185734,179.20291,48
3600,-211.85979858415809,-180.21354776185734,171.46205,49
3700,-211.85979858415809,-180.21354776185734,170.3723,49
3800,-211.85979858415809,-180.21354776185734,149.93092,49
3900,-199.8652798491167,-180.21354776185734,159.34908,50
