Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-589.7091164520594,nan,0
100,-100.0,-589.7091164520594,9697.996,99
200,-100.0,-589.7091164520594,6960.3096,199
300,-100.0,-589.7091164520594,1953.5015,299
400,-100.0,-589.7091164520594,12054.38,399
500,-100.0,-922.892761855694,11889.085,499
600,-100.0,-922.892761855694,9743.469,599
700,-100.0,-922.892761855694,8883.522,699
800,-100.0,-922.892761855694,5868.6455,799
900,-100.0,-922.892761855694,4034.282,899
1000,-100.0,-628.7200050542739,3554.36,999
1100,-100.0,-628.7200050542739,27408.71,1099
1200,-100.0,-628.7200050542739,35538.35,1199
1300,-100.0,-628.7200050542739,18218.45,1299
1400,-100.0,-628.7200050542739,14862.801,1399
1500,-90.0,-526.1642780669146,8853.855,1499
1600,-100.0,-526.1642780669146,6098.002,1599
1700,-100.0,-526.1642780669146,6748.3525,1699
1800,-90.0,-526.1642780669146,8174.6377,1799
1900,-90.0,-526.1642780669146,6026.2104,1899
2000,-90.0,-483.68202975521615,3881.9368,1999
2100,-100.0,-483.68202975521615,2316.7302,2099
2200,-100.0,-483.68202975521615,1613.1295,2199
2300,-100.0,-483.68202975521615,1215.5647,2299
2400,-100.0,-483.68202975521615,1045.1145,2399
2500,-100.0,-593.6228367044492,996.33716,2499
2600,-100.0,-593.6228367044492,901.4116,2599
2700,-100.0,-593.6228367044492,942.1333,2699
2800,-100.0,-593.6228367044492,941.6188,2799
2900,-100.0,-593.6228367044492,1356.1663,2899
3000,-100.0,-584.8508108435997,3342.8523,2999
3100,-100.0,-584.8508108435997,1921.1451,3099
3200,-100.0,-584.8508108435997,1175.3773,3199
3300,-100.0,-584.8508108435997,1075.0325,3299
3400,20.0,-584.8508108435997,937.4003,3399
3500,-100.0,-645.8844358670392,1061.2461,3499
3600,-100.0,-645.8844358670392,1011.2715,3599
3700,-100.0,-645.8844358670392,883.1397,3699
3800,-100.0,-645.8844358670392,887.7869,3799
3900,-100.0,-645.8844358670392,1826.0741,3899
4000,-100.0,-541.2382500711738,7236.7495,3999
4100,-100.0,-541.2382500711738,1849.9535,4099
4200,-100.0,-541.2382500711738,1278.9999,4199
4300,-100.0,-541.2382500711738,1626.417,4299
4400,-100.0,-541.2382500711738,2328.6553,4399
4500,-100.0,-618.0957078586214,2679.528,4499
4600,-100.0,-618.0957078586214,2035.6279,4599
4700,-100.0,-618.0957078586214,1821.0123,4699
4800,-100.0,-618.0957078586214,1482.924,4799
4900,-100.0,-618.0957078586214,1518.4928,4899
5000,-100.0,-595.2289048693335,1493.7472,4999
5100,-100.0,-595.2289048693335,1442.3894,5099
5200,-100.0,-595.2289048693335,1670.8695,5199
5300,-100.0,-595.2289048693335,2583.2783,5299
5400,-100.0,-595.2289048693335,2146.5527,5399
5500,-100.0,-524.6010720960389,3606.6895,5499
5600,-100.0,-524.6010720960389,2061.2507,5599
5700,-100.0,-524.6010720960389,1905.5022,5699
5800,-100.0,-524.6010720960389,1544.8158,5799
5900,-100.0,-524.6010720960389,1369.5194,5899
6000,-100.0,-555.1969591521536,1412.5132,5999
6100,-100.0,-555.1969591521536,1234.2202,6099
6200,-100.0,-555.1969591521536,1214.4188,6199
6300,-100.0,-555.1969591521536,1204.4604,6299
6400,-100.0,-555.1969591521536,1109.3939,6399
6500,-100.0,-421.62420830240933,1232.2952,6499
