Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-571.4664582878919,nan,0
100,-100.87208033875062,-571.4664582878919,nan,4
200,-153.3719609781697,-571.4664582878919,nan,6
300,-217.52227754323613,-571.4664582878919,161.15846,10
400,-278.73313842196904,-571.4664582878919,161.90892,12
500,-312.45893205206346,-417.3762112833947,158.65215,14
600,-305.4468594675803,-417.3762112833947,165.62714,16
700,-305.4468594675803,-417.3762112833947,142.33855,16
800,-324.11188388607496,-417.3762112833947,129.22906,18
900,-401.7175723383721,-417.3762112833947,146.26062,22
1000,-419.53342572636984,-483.9705024227912,151.05957,24
1100,-495.8352060440278,-483.9705024227912,153.44254,28
1200,-456.5651907189438,-483.9705024227912,159.41736,30
1300,-402.93373605457055,-483.9705024227912,147.13799,32
1400,-386.5781712643817,-483.9705024227912,162.5246,34
1500,-413.5025696984073,-135.89629359240558,145.4906,36
1600,-335.40392449539524,-135.89629359240558,154.11282,40
1700,-286.2438771377559,-135.89629359240558,148.78961,44
1800,-233.75373025924654,-135.89629359240558,144.47014,46
1900,-191.87798277608027,-135.89629359240558,153.7021,50
2000,-198.62991500261018,-134.99930623824213,144.78845,52
2100,-146.08073277179713,-134.99930623824213,133.99774,56
2200,-121.67141614428813,-134.99930623824213,148.6194,58
2300,-112.95629810680506,-134.99930623824213,138.59827,62
2400,-114.34907055406657,-134.99930623824213,137.59856,66
2500,-120.33307333363913,-137.50387699266997,125.39138,68
2600,-124.11723410781126,-137.50387699266997,126.307755,72
2700,-126.32898244860253,-137.50387699266997,126.01636,74
2800,-119.80477344035387,-137.50387699266997,120.62769,78
2900,-145.90060905426625,-137.50387699266997,124.57637,80
3000,-151.34425717870172,-145.851205881471,120.36264,82
3100,-156.46794377349246,-145.851205881471,126.902176,86
3200,-159.41264800269724,-145.851205881471,116.63839,90
3300,-158.4996812133915,-145.851205881471,119.38878,92
3400,-158.1271243061181,-145.851205881471,117.47021,94
3500,-160.25057700570682,-128.42550487234536,116.554,96
3600,-144.9748108158927,-128.42550487234536,115.805885,100
3700,-144.41482740020083,-128.42550487234536,107.4639,102
3800,-157.4769036246702,-128.42550487234536,98.12986,106
3900,-164.1358939217685,-128.42550487234536,118.18995,108
4000,-167.89299215311559,-138.9418892624504,105.05616,110
4100,-166.2597508847686,-138.9418892624504,102.02243,114
4200,-168.6456751414493,-138.9418892624504,105.26174,116
4300,-164.38796850819057,-138.9418892624504,86.292656,118
4400,-164.54656787893882,-138.9418892624504,95.22203,122
4500,-152.04653868021427,-145.18226133273058,92.40875,124
4600,-144.09804537204283,-145.18226133273058,104.04962,128
4700,-139.42913219092958,-145.18226133273058,92.1154,130
4800,-142.0339769835162,-145.18226133273058,88.6775,132
4900,-143.0791263458189,-145.18226133273058,94.30535,136
5000,-139.916488152794,-147.66144724427437,92.62211,140
5100,-141.3061752278422,-147.66144724427437,92.23677,144
5200,-140.61045296115248,-147.66144724427437,90.40301,146
5300,-146.12103255345215,-147.66144724427437,84.16613,148
5400,-148.97414925562856,-147.66144724427437,90.44315,152
5500,-149.80671907890454,-141.41692504226262,90.91719,154
5600,-147.4841102998426,-141.41692504226262,80.836426,158
5700,-150.1590074615643,-141.41692504226262,79.42519,160
5800,-145.88337150213493,-141.41692504226262,81.09495,164
5900,-145.56035793462095,-141.41692504226262,78.464554,166
6000,-139.80303787910285,-165.6560068970768,77.59281,170
6100,-132.6987295044552,-165.6560068970768,76.402504,174
6200,-129.42746034348502,-165.6560068970768,77.71773,176
6300,-127.73091966236689,-165.6560068970768,77.75002,178
6400,-131.33564013732294,-165.6560068970768,81.87027,180
6500,-129.44718574781277,-129.5305098281654,74.96577,184
6600,-139.01033562610527,-129.5305098281654,82.03081,188
6700,-129.61070301607097,-129.5305098281654,79.7471,190
6800,-133.20094055883405,-129.5305098281654,69.833084,194
6900,-133.36858596979465,-129.5305098281654,72.28945,196
7000,-134.36801594817967,-148.15857495529127,68.547264,200
7100,-133.04461863720644,-148.15857495529127,65.33473,204
7200,-126.8917909347019,-148.15857495529127,71.71569,208
7300,-126.60606296148069,-148.15857495529127,70.25613,210
7400,-127.7280849536207,-148.15857495529127,72.698074,214
7500,-126.39178278972395,-107.30593718123104,67.48142,216
7600,-123.31259714246978,-107.30593718123104,60.51182,220
7700,-108.6207848161882,-107.30593718123104,63.32429,222
7800,-96.60325525601536,-107.30593718123104,69.64179,226
7900,-100.87211353089826,-107.30593718123104,69.48147,230
8000,-100.84658396929693,-139.83292649979182,73.49099,232
8100,-104.45397093980186,-139.83292649979182,65.58972,236
8200,-105.41473013928149,-139.83292649979182,69.958824,238
8300,-104.09547950083936,-139.83292649979182,66.04529,240
8400,-113.9301484988584,-139.83292649979182,60.94221,244
8500,-115.94682723793929,-100.44624210640328,65.613464,246
8600,-123.96930991870661,-100.44624210640328,69.948654,250
8700,-121.36860735844968,-100.44624210640328,61.64649,252
8800,-117.41053889484378,-100.44624210640328,65.71115,254
8900,-118.42298470884751,-100.44624210640328,58.487164,258
9000,-118.00456358873438,-123.58174571867139,64.68304,260
9100,-123.56430033036978,-123.58174571867139,61.165714,264
9200,-139.35670158979366,-123.58174571867139,63.30976,266
9300,-142.8157260098068,-123.58174571867139,62.327103,268
9400,-128.804155054356,-123.58174571867139,62.978428,272
