Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-116.9112983300972,nan,0
100,-100.0,-116.9112983300972,98.617905,99
200,-100.0,-116.9112983300972,91.14252,199
300,-100.0,-116.9112983300972,-8.242859,299
400,-100.0,-116.9112983300972,-255.02402,399
500,-100.0,-418.37891378407176,-2306.8904,499
600,-100.0,-418.37891378407176,-6935.2188,599
700,-100.0,-418.37891378407176,-3570.502,699
800,-100.0,-418.37891378407176,-8377.749,799
900,-100.0,-418.37891378407176,-13702.732,899
1000,-100.0,-474.3781702811496,-10087.52,999
1100,-100.0,-474.3781702811496,-37142.203,1099
1200,-100.0,-474.3781702811496,-62878.82,1199
1300,-100.0,-474.3781702811496,-34360.383,1299
1400,-100.0,-474.3781702811496,-105416.56,1399
1500,-100.0,-424.48884713257337,-260178.81,1499
1600,-100.0,-424.48884713257337,-143721.64,1599
1700,-100.0,-424.48884713257337,-305977.1,1699
1800,-100.0,-424.48884713257337,-448181.12,1799
1900,-100.0,-424.48884713257337,-191660.4,1899
2000,-100.0,-566.3434727525054,-450751.6,1999
2100,-100.0,-566.3434727525054,-729170.75,2099
2200,-100.0,-566.3434727525054,-344017.53,2199
2300,-100.0,-566.3434727525054,-607082.6,2299
2400,-100.0,-566.3434727525054,-818995.5,2399
2500,-100.0,-145.71823893832715,-397576.28,2499
2600,-100.0,-145.71823893832715,-630034.4,2599
2700,-100.0,-145.71823893832715,-895100.8,2699
2800,-100.0,-145.71823893832715,-449419.6,2799
2900,-100.0,-145.71823893832715,-737182.6,2899
3000,-100.0,-627.3321990082129,-955443.7,2999
3100,-100.0,-627.3321990082129,-484399.4,3099
3200,-100.0,-627.3321990082129,-801033.06,3199
3300,-100.0,-627.3321990082129,-1097372.2,3299
3400,-100.0,-627.3321990082129,-751981.4,3399
3500,-100.0,-920.3763605222308,-1373946.5,3499
3600,-100.0,-920.3763605222308,-2209672.0,3599
3700,-100.0,-920.3763605222308,-1157621.6,3699
3800,-100.0,-920.3763605222308,-1785185.2,3799
3900,-100.0,-920.3763605222308,-2370482.2,3899
4000,-100.0,-586.4210897804433,-1340098.5,3999
4100,-100.0,-586.4210897804433,-2002433.2,4099
4200,-100.0,-586.4210897804433,-2536084.5,4199
4300,-100.0,-586.4210897804433,-1498515.6,4299
4400,-100.0,-586.4210897804433,-2125882.5,4399
4500,-100.0,-544.2736585555742,-2593571.0,4499
4600,-100.0,-544.2736585555742,-1707826.5,4599
4700,-100.0,-544.2736585555742,-2301072.2,4699
4800,-100.0,-544.2736585555742,-2687713.5,4799
4900,-100.0,-544.2736585555742,-1804698.1,4899
5000,-100.0,-672.3857785628808,-2408332.2,4999
5100,-100.0,-672.3857785628808,-2870131.0,5099
5200,-100.0,-672.3857785628808,-1967547.0,5199
5300,-90.0,-672.3857785628808,-2358069.8,5299
5400,-90.0,-672.3857785628808,-3066173.0,5399
5500,-90.0,-519.8259319195752,-2118307.2,5499
5600,-100.0,-519.8259319195752,-2600371.8,5599
5700,-100.0,-519.8259319195752,-3224587.2,5699
5800,-100.0,-519.8259319195752,-2276026.8,5799
5900,-100.0,-519.8259319195752,-2826091.2,5899
6000,-100.0,-574.3483668881107,-3293507.8,5999
6100,-100.0,-574.3483668881107,-2410521.0,6099
6200,-100.0,-574.3483668881107,-2603027.2,6199
6300,-100.0,-574.3483668881107,-3261601.0,6299
6400,-100.0,-574.3483668881107,-2437523.8,6399
6500,-100.0,-617.5073470465811,-2957043.8,6499
6600,-100.0,-617.5073470465811,-3665046.8,6599
6700,-100.0,-617.5073470465811,-2689984.0,6699
6800,-100.0,-617.5073470465811,-3157625.2,6799
6900,-100.0,-617.5073470465811,-3683428.2,6899
7000,-100.0,-649.4569761497169,-2625905.0,6999
7100,-100.0,-649.4569761497169,-3381199.8,7099
7200,-100.0,-649.4569761497169,-3995078.5,7199
7300,-100.0,-649.4569761497169,-2779613.8,7299
7400,-100.0,-649.4569761497169,-3405697.2,7399
7500,-100.0,-554.5937455726607,-4193986.2,7499
7600,-100.0,-554.5937455726607,-3068531.0,7599
7700,-100.0,-554.5937455726607,-3524887.8,7699
7800,-100.0,-554.5937455726607,-4020516.8,7799
7900,-100.0,-554.5937455726607,-3247518.0,7899
8000,-100.0,-541.134244234788,-3760177.2,7999
8100,-100.0,-541.134244234788,-4233918.5,8099
8200,-100.0,-541.134244234788,-3053574.5,8199
8300,-100.0,-541.134244234788,-3789189.5,8299
8400,-100.0,-541.134244234788,-4272055.5,8399
8500,-100.0,-614.9995328881881,-3356418.2,8499
8600,-100.0,-614.9995328881881,-3956667.8,8599
8700,-100.0,-614.9995328881881,-4387342.5,8699
8800,-100.0,-614.9995328881881,-3406185.0,8799
8900,-100.0,-614.9995328881881,-4079160.8,8899
9000,-100.0,-627.8682973592074,-4807824.5,8999
9100,-100.0,-627.8682973592074,-3693835.0,9099
9200,-100.0,-627.8682973592074,-4551103.5,9199
9300,-100.0,-627.8682973592074,-4714801.0,9299
9400,-100.0,-627.8682973592074,-3855801.0,9399
9500,-100.0,-537.5646816411883,-4072131.2,9499
9600,-100.0,-537.5646816411883,-4578950.5,9599
9700,-100.0,-537.5646816411883,-3784071.8,9699
9800,-100.0,-537.5646816411883,-4542337.0,9799
9900,-100.0,-537.5646816411883,-5462459.0,9899
10000,-90.0,-581.3856600736844,-4010450.2,9999
